price_date,product_id,unit_price
2026-06-01,P01,0.9584
2026-06-01,P02,1.0215
2026-06-01,P03,1.1365
2026-06-01,P04,0.8834
2026-06-02,P01,0.9642
2026-06-02,P02,1.0606
2026-06-02,P03,1.1735
2026-06-02,P04,0.8752
2026-06-03,P01,0.9453
2026-06-03,P02,1.0218
2026-06-03,P03,1.1331
2026-06-03,P04,0.9003
2026-06-04,P01,0.9216
2026-06-04,P02,1.0319
2026-06-04,P03,1.1590
2026-06-04,P04,0.9027
2026-06-05,P01,0.9332
2026-06-05,P02,1.0554
2026-06-05,P03,1.1686
2026-06-05,P04,0.8704
2026-06-06,P01,0.9683
2026-06-06,P02,1.0619
2026-06-06,P03,1.1404
2026-06-06,P04,0.8793
2026-06-07,P01,0.9774
2026-06-07,P02,1.0402
2026-06-07,P03,1.1256
2026-06-07,P04,0.8758
2026-06-08,P01,0.9708
2026-06-08,P02,1.0562
2026-06-08,P03,1.1684
2026-06-08,P04,0.9138
2026-06-09,P01,0.9522
2026-06-09,P02,1.0784
2026-06-09,P03,1.1427
2026-06-09,P04,0.9031
2026-06-10,P01,0.9698
2026-06-10,P02,1.0571
2026-06-10,P03,1.1717
2026-06-10,P04,0.9046
2026-06-11,P01,0.9623
2026-06-11,P02,1.0227
2026-06-11,P03,1.1337
2026-06-11,P04,0.8874
2026-06-12,P01,0.9248
2026-06-12,P02,1.0340
2026-06-12,P03,1.1261
2026-06-12,P04,0.8867
2026-06-13,P01,0.9581
2026-06-13,P02,1.0419
2026-06-13,P03,1.1422
2026-06-13,P04,0.8826
2026-06-14,P01,0.9360
2026-06-14,P02,1.0762
2026-06-14,P03,1.1589
2026-06-14,P04,0.9065
2026-06-15,P01,0.9303
2026-06-15,P02,1.0637
2026-06-15,P03,1.1298
2026-06-15,P04,0.8928
2026-06-16,P01,0.9794
2026-06-16,P02,1.0584
2026-06-16,P03,1.1534
2026-06-16,P04,0.9111
2026-06-17,P01,0.9706
2026-06-17,P02,1.0666
2026-06-17,P03,1.1337
2026-06-17,P04,0.8719
2026-06-18,P01,0.9389
2026-06-18,P02,1.0361
2026-06-18,P03,1.1327
2026-06-18,P04,0.9266
2026-06-19,P01,0.9726
2026-06-19,P02,1.0389
2026-06-19,P03,1.1593
2026-06-19,P04,0.8937
2026-06-20,P01,0.9749
2026-06-20,P02,1.0475
2026-06-20,P03,1.1359
2026-06-20,P04,0.8848
2026-06-21,P01,0.9537
2026-06-21,P02,1.0358
2026-06-21,P03,1.1551
2026-06-21,P04,0.9239
2026-06-22,P01,0.9440
2026-06-22,P02,1.0332
2026-06-22,P03,1.1799
2026-06-22,P04,0.9006
2026-06-23,P01,0.9255
2026-06-23,P02,1.0228
2026-06-23,P03,1.1266
2026-06-23,P04,0.9076
2026-06-24,P01,0.9675
2026-06-24,P02,1.0453
2026-06-24,P03,1.1238
2026-06-24,P04,0.8929
2026-06-25,P01,0.9798
2026-06-25,P02,1.0517
2026-06-25,P03,1.1783
2026-06-25,P04,0.9216
2026-06-26,P01,0.9207
2026-06-26,P02,1.0632
2026-06-26,P03,1.1609
2026-06-26,P04,0.9022
2026-06-27,P01,0.9360
2026-06-27,P02,1.0585
2026-06-27,P03,1.1267
2026-06-27,P04,0.8961
2026-06-28,P01,0.9472
2026-06-28,P02,1.0772
2026-06-28,P03,1.1726
2026-06-28,P04,0.8858
2026-06-29,P01,0.9500
2026-06-29,P02,1.0307
2026-06-29,P03,1.1748
2026-06-29,P04,0.9222
2026-06-30,P01,0.9379
2026-06-30,P02,1.0583
2026-06-30,P03,1.1565
2026-06-30,P04,0.8792
